,ABSNJZH,MEANGAM,MEANGBT,MEANJZD,MEANJZH,R_VALUE,USFLUX,,,Hour,ABSNJZH,MEANGAM,MEANGBT,MEANJZD,MEANJZH,R_VALUE,USFLUX,,,,ABSNJZH,MEANGAM,MEANGBT,MEANJZD,MEANJZH,R_VALUE,USFLUX
97,0.7018555,0.417607063,0.18462877,0.270718309,0.398327577,0.851684892,0.958470663,,,,,,,,,,,,,,,,,,,,
98,0.694083436,0.443381538,0.199346611,0.363868189,0.338400007,0.847632967,0.963710927,,,,,,,,,,,,,,,,,,,,
99,0.772440728,0.398797741,0.158555603,0.294184247,0.426851903,0.895334849,0.942242937,,,,,,,,,,,,,,,,,,,,
100,0.813492627,0.333446047,0.15827234,0.193879342,0.355284238,0.86573753,0.979694247,,,,,,,,,,,,,,,,,,,,
101,0.74688171,0.347946826,0.158358056,0.277261685,0.345159364,0.870008724,1,,,,,,,,,,,,,,,,,,,,
102,0.626496049,0.297997645,0.13900364,0.234953017,0.364263225,0.917067011,0.988434836,,,,,,,,,,,,,,,,,,,,
103,0.761948635,0.315295763,0.133816865,0.221336443,0.100421995,0.900537651,0.962068477,,,,,,,,,,,,,,,,,,,,
104,0.865055555,0.227336204,0.090318925,0.247238009,0,0.91413899,0.939217363,,,,,,,,,,,,,,,,,,,,
105,0.764376963,0.244345002,0.123654168,0.299892234,0.155441567,0.93265577,0.929653314,,,,,,,,,,,,,,,,,,,,
106,0.704156207,0.162860203,0.041519282,0.369523418,0.146951019,0.935515196,0.897542541,,,,,,,,,,,,,,,,,,,,
107,0.650636317,0.174281078,0.061719701,0.242333811,0.203378647,0.887255853,0.910851798,,,,,,,,,,,,,,,,,,,,
108,0.66663602,0.124747454,0.037423261,0.244083177,0.173002884,0.88346336,0.875847748,,,,,,,,,,,,,,,,,,,,
109,0.648250835,0.104352416,0.021336216,0.146279561,0.153220783,0.924544677,0.892266171,,,,,,,,,,,,,,,,,,,,
110,0.533223957,0.067390654,0.041355713,0.24069826,0.139655468,0.885150407,0.906948757,,,,,,,,,,,,,,,,,,,,
111,0.613862803,0.056838132,0.060249123,0.099489945,0.111081964,1,0.937447364,,,,,,,,,,,,,,,,,,,,
112,0.484102402,0.039750727,0.045780589,0.164539898,0.082225497,0.975497773,0.992603698,,,,,,,,,,,,,,,,,,,,
113,0.554192953,0.037011433,0.065523685,0.120110395,0.087200429,0.992277349,0.95850485,,,,,,,,,,,,,,,,,,,,
114,0.293941727,0.018229144,0.03925089,0.105717945,0.171267368,0.931001865,0.921535475,,,,,,,,,,,,,,,,,,,,
115,0.460240204,0.02565041,0.063103598,0,0.194307001,0.989948612,0.985885971,,,,,,,,,,,,,,,,,,,,
116,0.451808749,0.006102725,0.023700718,0.217274047,0.162131028,0.951121686,0.95154854,,,,,,,,,,,,,,,,,,,,
117,0.344112836,0.052318101,0,0.04183326,0.206835239,0.922201688,0.983047054,,,,,,,,,,,,,,,,,,,,
118,0.434119352,0,0.004942427,0.175242665,0.105203341,0.964107589,0.992134787,,,,,,,,,,,,,,,,,,,,
