,R_VALUE,ABSNJZH,MEANJZD,MEANGBT,MEANGAM,MEANJZH,USFLUX,,,Hour,ABSNJZH,MEANGAM,MEANGBT,MEANJZD,MEANJZH,R_VALUE,USFLUX,,,,ABSNJZH,MEANGAM,MEANGBT,MEANJZD,MEANJZH,R_VALUE,USFLUX
107,0.87111305,0.915202974,0.269378533,0.036040001,0.181415587,0.378585868,0.87044911,,,,,,,,,,,,,,,,,,,,
108,0.828359785,0.912286435,0.235751975,0.069425669,0.154003355,0.125586752,0.791420857,,,,,,,,,,,,,,,,,,,,
109,0.864353102,0.974429486,0.232594841,0.080321658,0.141730519,0.278525486,0.811325275,,,,,,,,,,,,,,,,,,,,
110,0.829505467,0.989621439,0.148297428,0.071324869,0.092819046,0.214499873,0.822864836,,,,,,,,,,,,,,,,,,,,
111,1,0.999365447,0.042015098,0.143053476,0.081460359,0.360371868,0.828172968,,,,,,,,,,,,,,,,,,,,
112,0.942257001,0.970839479,0,0.179219878,0.086702383,0.289355271,0.866650575,,,,,,,,,,,,,,,,,,,,
113,0.93440598,0.890535859,0.127188832,0.184637865,0.069263955,0.329866322,0.826432481,,,,,,,,,,,,,,,,,,,,
114,0.88582883,0.975362498,0.186317443,0.162584088,0.071612627,0.442262901,0.804692183,,,,,,,,,,,,,,,,,,,,
115,0.957431298,0.999306625,0.008063224,0.182294945,0.037265606,0.320992233,0.829581389,,,,,,,,,,,,,,,,,,,,
116,0.921090194,0.970666581,0.19702798,0.175358513,0.056028168,0.288969228,0.823334869,,,,,,,,,,,,,,,,,,,,
117,0.893119076,0.912992148,0.008562226,0.125112496,0.0811865,0.36576587,0.823485766,,,,,,,,,,,,,,,,,,,,
118,0.899398723,0.921687263,0.1475497,0.122864044,0,0.357999667,0.796636099,,,,,,,,,,,,,,,,,,,,
